"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"Hutan.lahan.kering.primer",2016,"1","Hutan.lahan.kering.primer",13558.5983768514,0,0,0,0,0,0,0,0,0,0,0,357.401623148749,0,0,0,0,0,0,0,0,0,0
"Hutan.lahan.kering.sekunder...bekas.tebangan",2016,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,131479.178409462,0,0,0,0,0,0,0,0,0,21219.7139137071,14324.1076768305,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.primer",2016,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",2016,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",2016,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",2016,"6","Hutan.mangrove.sekunder",0,0,0,0,0,1087.93437202653,0,0,0,0,0,0,0,0,0,43.0656279736868,0,0,0,0,0,0,0
"Hutan.tanaman",2016,"7","Hutan.tanaman",0,0,0,0,0,0,368180.373200423,0,0,0,0,33986.2541431158,27625.1527773199,33649.2198791409,0,0,0,0,0,0,0,0,0
"Perkebunan",2016,"8","Perkebunan",0,0,0,0,0,0,0,137227.983699141,0,0,0,12674.5883782749,8090.00907416299,13544.418848421,0,0,0,0,0,0,0,0,0
"Semak.belukar",2016,"9","Semak.belukar",0,0,0,0,0,0,0,0,2765.69150700593,0,0,0,711.30849299458,0,0,0,0,0,0,0,0,0,0
"Semak.belukar.rawa",2016,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savanna...Padang.rumput",2016,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pertanian.lahan.kering",2016,"12","Pertanian.lahan.kering",0,0,0,0,0,0,53826.2799855096,0,0,0,0,704017.670208432,46054.9491000054,51866.7582235806,8298.72046736016,14762.3079289427,0,0,0,1475.31408617008,0,0,0
"Pertanian.lahan.kering..campur.semak...kebun.campur",2016,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,31295.0115858741,0,0,0,0,2358.41016315544,3183.30714519694,0,0,0,49818.2129490345,593410.978285711,48320.122151927,0,13463.9577191006,0,0,0,0,0,0,0
"Sawah",2016,"14","Sawah",0,0,0,0,0,0,21254.2951973186,18324.6876085601,617.470765862046,0,0,56615.4250134756,50176.7318542669,697587.200000001,2483.9930990562,19091.2390774532,0,1955.33667400134,344.991801965589,3501.27850754231,0,0,31.350400497191
"Tambak",2016,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,14273.1999999997,57092.8,0,0,0,0,0,0,0,0
"Pemukiman",2016,"16","Pemukiman",0,0,0,0,0,0,7886.88227098522,0,0,0,0,21094.9528243546,14953.1397699349,18306.2263026803,0,248956.798832045,0,0,0,0,0,0,0
"Transmigrasi",2016,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
