"","year","id.sector","sector","emission"
"80",2017,"28","Pengadaan Gas dan Produksi Es",22452.680244853
"81",2017,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",2616.64726640001
"82",2017,"30","Konstruksi",304041.253987804
"83",2017,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",72580.6598967051
"84",2017,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",440905.271976274
"85",2017,"33","Angkutan Rel",2188.49065045167
"86",2017,"34","Angkutan Darat",162626.777027666
"87",2017,"35","Angkutan Laut",473.193258670332
"88",2017,"36","Angkutan Sungai Danau dan Penyeberangan",2.78608816892222
"89",2017,"37","Angkutan Udara",18932.2433319095
"90",2017,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",7227.59021361373
"91",2017,"39","Penyediaan Akomodasi",14066.6442169096
"92",2017,"40","Penyediaan Makan Minum",71167.5565876417
"93",2017,"41","Informasi dan Komunikasi",88816.6360133047
"94",2017,"42","Jasa Perantara Keuangan",67407.0657905222
"95",2017,"43","Asuransi dan Dana Pensiun",7110.75056196442
"96",2017,"44","Jasa Keuangan Lainnya",10572.9027759746
"97",2017,"45","Jasa Penunjang Keuangan",1170.09817822089
"98",2017,"46","Real Estate",31702.823401012
"99",2017,"47","Jasa Perusahaan",14027.4216870533
"100",2017,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",81265.0921183349
"101",2017,"49","Jasa Pendidikan",85712.1452983444
"102",2017,"50","Jasa Kesehatan dan Kegiatan Sosial",23502.9571025167
"103",2017,"51","Jasa lainnya",60974.6878259023
"104",2017,"52","Lainnya",34.9675602072705
"105",2018,"1","Tanaman Pangan",147904.01201595
"106",2018,"2","Tanaman Hortikultura",56646.2077752364
"107",2018,"3","Perkebunan",24110.5618148114
"108",2018,"4","Peternakan",39975.9261844192
"109",2018,"5","Jasa Pertanian dan Perburuan ",4744.87901061895
"110",2018,"6","Kehutanan dan Penebangan Kayu",2944.55283389163
"111",2018,"7","Perikanan",34284.1254921346
"112",2018,"8","Pertambangan Minyak Gas dan Panas Bumi",41060.504016777
"113",2018,"9","Pertambangan Bijih Logam",2117.41414103323
"114",2018,"10","Pertambangan dan Penggalian Lainnya",18374.1421995357
"115",2018,"11","Industri Batubara dan Pengilangan Migas",58879.9932618282
"116",2018,"12","Industri Makanan dan Minuman",156219.612370707
"117",2018,"13","Pengolahan Tembakau",7112.53220672503
"118",2018,"14","Industri Tekstil dan Pakaian Jadi",214606.04396432
"119",2018,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",20658.4367150893
"120",2018,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",14929.5213973892
"121",2018,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",37418.9380933458
"122",2018,"18","Industri Kimia Farmasi dan Obat Tradisional",87052.0891957039
"123",2018,"19","Industri Karet Barang dari Karet dan Plastik",45784.2519039948
"124",2018,"20","Industri Barang Galian bukan Logam",27310.5339474452
"125",2018,"21","Industri Logam Dasar",42304.0345720789
"126",2018,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",346214.646698265
"127",2018,"23","Industri Mesin dan Perlengkapan YTDL",143302.771826836
"128",2018,"24","Industri Alat Angkutan",304248.089648499
"129",2018,"25","Industri Furnitur",8264.73050212222
"130",2018,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",16989.5627936206
"131",2018,"27","Ketenagalistrikan",5302.0097500781
"132",2018,"28","Pengadaan Gas dan Produksi Es",23816.0881442232
"133",2018,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",2775.53976242095
"134",2018,"30","Konstruksi",322503.735395872
"135",2018,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",76988.1625752542
"136",2018,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",467678.679132278
"137",2018,"33","Angkutan Rel",2321.38381944293
"138",2018,"34","Angkutan Darat",172502.069287336
"139",2018,"35","Angkutan Laut",501.927333715437
"140",2018,"36","Angkutan Sungai Danau dan Penyeberangan",2.95530086329806
