"","year","sector","income"
"85",2017,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",91392450.3785687
"86",2017,"Angkutan Rel",430211.706828372
"87",2017,"Angkutan Darat",28165793.9590182
"88",2017,"Angkutan Laut",88868.3418728367
"89",2017,"Angkutan Sungai Danau dan Penyeberangan",384.104040400443
"90",2017,"Angkutan Udara",4296622.66150231
"91",2017,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1375137.91466536
"92",2017,"Penyediaan Akomodasi",2806557.74602506
"93",2017,"Penyediaan Makan Minum",13621580.7470807
"94",2017,"Informasi dan Komunikasi",17191365.1301204
"95",2017,"Jasa Perantara Keuangan",12918072.1041075
"96",2017,"Asuransi dan Dana Pensiun",1454285.35878865
"97",2017,"Jasa Keuangan Lainnya",2045707.83358205
"98",2017,"Jasa Penunjang Keuangan",171125.53195408
"99",2017,"Real Estate",4886779.95606513
"100",2017,"Jasa Perusahaan",2063796.98201586
"101",2017,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",33965616.8274307
"102",2017,"Jasa Pendidikan",17951400.8036784
"103",2017,"Jasa Kesehatan dan Kegiatan Sosial",3963223.33202572
"104",2017,"Jasa lainnya",12502098.1858287
"105",2017,"Lainnya",5947.53803374465
"106",2018,"Tanaman Pangan",30237376.3204324
"107",2018,"Tanaman Hortikultura",10472140.2713026
"108",2018,"Perkebunan",4715219.17219326
"109",2018,"Peternakan",7581876.0527847
"110",2018,"Jasa Pertanian dan Perburuan ",867569.225886774
"111",2018,"Kehutanan dan Penebangan Kayu",339700.761169349
"112",2018,"Perikanan",6666643.12255676
"113",2018,"Pertambangan Minyak Gas dan Panas Bumi",9217486.15789481
"114",2018,"Pertambangan Bijih Logam",210845.42272969
"115",2018,"Pertambangan dan Penggalian Lainnya",3013725.39503125
"116",2018,"Industri Batubara dan Pengilangan Migas",9834465.89276507
"117",2018,"Industri Makanan dan Minuman",28140764.919088
"118",2018,"Pengolahan Tembakau",1388589.49129561
"119",2018,"Industri Tekstil dan Pakaian Jadi",45945030.0345603
"120",2018,"Industri Kulit Barang dari Kulit dan Alas Kaki",4068868.52093997
"121",2018,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2308998.35980642
"122",2018,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",7424775.00314022
"123",2018,"Industri Kimia Farmasi dan Obat Tradisional",16966046.0627293
"124",2018,"Industri Karet Barang dari Karet dan Plastik",8754654.71028472
"125",2018,"Industri Barang Galian bukan Logam",5255358.42068318
"126",2018,"Industri Logam Dasar",8854524.0639864
"127",2018,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",39834132.7762124
"128",2018,"Industri Mesin dan Perlengkapan YTDL",30796014.7321772
"129",2018,"Industri Alat Angkutan",67621514.2222149
"130",2018,"Industri Furnitur",1160481.2036243
"131",2018,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2467179.02767964
"132",2018,"Ketenagalistrikan",1142797.90964219
"133",2018,"Pengadaan Gas dan Produksi Es",4226064.92917815
"134",2018,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",552919.870451416
"135",2018,"Konstruksi",60386586.7587779
"136",2018,"Perdagangan Mobil Sepeda Motor dan Reparasinya",10996656.647776
"137",2018,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",95962072.8974972
"138",2018,"Angkutan Rel",451722.29216979
"139",2018,"Angkutan Darat",29574083.6569691
"140",2018,"Angkutan Laut",93311.7589664785
"141",2018,"Angkutan Sungai Danau dan Penyeberangan",403.309242420465
"142",2018,"Angkutan Udara",4511453.79457743
"143",2018,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1443894.81039863
"144",2018,"Penyediaan Akomodasi",2946885.63332632
"145",2018,"Penyediaan Makan Minum",14302659.7844348
"146",2018,"Informasi dan Komunikasi",18050933.3866264
"147",2018,"Jasa Perantara Keuangan",13563975.7093128
"148",2018,"Asuransi dan Dana Pensiun",1526999.62672809
"149",2018,"Jasa Keuangan Lainnya",2147993.22526116
"150",2018,"Jasa Penunjang Keuangan",179681.808551784
"151",2018,"Real Estate",5131118.95386839
