"","year","id.sector","sector","labour"
"81",2017,28,"Pengadaan Gas dan Produksi Es",8018.48544600553
"82",2017,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",17215.5711074154
"83",2017,30,"Konstruksi",1392946.20116911
"84",2017,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",100040.370111786
"85",2017,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1080350.07262774
"86",2017,33,"Angkutan Rel",52153.8321735533
"87",2017,34,"Angkutan Darat",796171.306600819
"88",2017,35,"Angkutan Laut",7958.97435810987
"89",2017,36,"Angkutan Sungai Danau dan Penyeberangan",7.71908266513408
"90",2017,37,"Angkutan Udara",136972.538182516
"91",2017,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",9770.46331569367
"92",2017,39,"Penyediaan Akomodasi",26088.4852798612
"93",2017,40,"Penyediaan Makan Minum",299520.681789749
"94",2017,41,"Informasi dan Komunikasi",87796.5153385732
"95",2017,42,"Jasa Perantara Keuangan",59624.3927744294
"96",2017,43,"Asuransi dan Dana Pensiun",6185.06932638617
"97",2017,44,"Jasa Keuangan Lainnya",6532.44808371314
"98",2017,45,"Jasa Penunjang Keuangan",1027.56540262853
"99",2017,46,"Real Estate",14074.5268577325
"100",2017,47,"Jasa Perusahaan",26168.0640613253
"101",2017,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",95828.3433667912
"102",2017,49,"Jasa Pendidikan",154023.664466101
"103",2017,50,"Jasa Kesehatan dan Kegiatan Sosial",179309.506154956
"104",2017,51,"Jasa lainnya",36733.112127823
"105",2017,52,"Lainnya",654.884067779691
"106",2018,1,"Tanaman Pangan",63742.6808940997
"107",2018,2,"Tanaman Hortikultura",45182.1080528836
"108",2018,3,"Perkebunan",48140.5622379743
"109",2018,4,"Peternakan",208356.743626952
"110",2018,5,"Jasa Pertanian, dan Perburuan",0
"111",2018,6,"Kehutanan dan Penebangan Kayu",788.377153461791
"112",2018,7,"Perikanan",61339.2021553406
"113",2018,8,"Pertambangan Minyak, Gas dan Panas Bumi",90881.7564406714
"114",2018,9,"Pertambangan Bijih Logam",3612.95516165752
"115",2018,10,"Pertambangan dan Penggalian Lainnya",26329.0404094254
"116",2018,11,"Industri Batubara dan Pengilangan Migas",1635392.79446776
"117",2018,12,"Industri Makanan dan Minuman",696003.392469121
"118",2018,13,"Pengolahan Tembakau",20616.1544662192
"119",2018,14,"Industri Tekstil dan Pakaian Jadi",1303614.85165945
"120",2018,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",164607.386278309
"121",2018,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",255999.709710699
"122",2018,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",279787.985023259
"123",2018,18,"Industri Kimia, Farmasi dan Obat Tradisional",1042532.12441908
"124",2018,19,"Industri Karet, Barang dari Karet dan Plastik",356301.055345137
"125",2018,20,"Industri Barang Galian bukan Logam",138603.71550051
"126",2018,21,"Industri Logam Dasar",250257.747108414
"127",2018,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",8469801.41461582
"128",2018,23,"Industri Mesin dan Perlengkapan YTDL",1723632.96466821
"129",2018,24,"Industri Alat Angkutan",1426120.04498471
"130",2018,25,"Industri Furnitur",76219.2203464772
"131",2018,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",141329.449118373
"132",2018,27,"Ketenagalistrikan",331135.195849259
"133",2018,28,"Pengadaan Gas dan Produksi Es",8419.40986784021
"134",2018,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",18076.3513916902
"135",2018,30,"Konstruksi",1462593.52592544
"136",2018,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",105042.585138866
"137",2018,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1134367.70651452
"138",2018,33,"Angkutan Rel",54761.5272654398
"139",2018,34,"Angkutan Darat",835979.91850317
"140",2018,35,"Angkutan Laut",8356.92439038542
"141",2018,36,"Angkutan Sungai Danau dan Penyeberangan",8.10512292326865
"142",2018,37,"Angkutan Udara",143821.172230052
"143",2018,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",10258.9918872586
"144",2018,39,"Penyediaan Akomodasi",27392.9109284227
"145",2018,40,"Penyediaan Makan Minum",314496.720742007
"146",2018,41,"Informasi dan Komunikasi",92186.3426370842
"147",2018,42,"Jasa Perantara Keuangan",62605.6720511526
"148",2018,43,"Asuransi dan Dana Pensiun",6494.32501125285
"149",2018,44,"Jasa Keuangan Lainnya",6859.07726544804
"150",2018,45,"Jasa Penunjang Keuangan",1078.94544223308
"151",2018,46,"Real Estate",14778.2537974937
"152",2018,47,"Jasa Perusahaan",27476.4785923126
"153",2018,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",100619.767825921
"154",2018,49,"Jasa Pendidikan",161724.847908667
"155",2018,50,"Jasa Kesehatan dan Kegiatan Sosial",188274.981915754
"156",2018,51,"Jasa lainnya",38569.7685910728
"157",2018,52,"Lainnya",687.628271168676
"158",2019,1,"Tanaman Pangan",66929.8337213264
"159",2019,2,"Tanaman Hortikultura",47441.2136698111
"160",2019,3,"Perkebunan",50557.8716479658
"161",2019,4,"Peternakan",218774.603324262
"162",2019,5,"Jasa Pertanian, dan Perburuan",0
"163",2019,6,"Kehutanan dan Penebangan Kayu",827.91350190194
"164",2019,7,"Perikanan",64406.1685849716
"165",2019,8,"Pertambangan Minyak, Gas dan Panas Bumi",95425.8487869149
"166",2019,9,"Pertambangan Bijih Logam",3793.60329297055
"167",2019,10,"Pertambangan dan Penggalian Lainnya",27645.4932963841
"168",2019,11,"Industri Batubara dan Pengilangan Migas",1717163.05839873
"169",2019,12,"Industri Makanan dan Minuman",730803.672032336
"170",2019,13,"Pengolahan Tembakau",21646.9627217022
"171",2019,14,"Industri Tekstil dan Pakaian Jadi",1368795.62449101
"172",2019,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",172837.758415845
"173",2019,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",268799.705306143
"174",2019,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",293777.406313608
"175",2019,18,"Industri Kimia, Farmasi dan Obat Tradisional",1094658.98806813
"176",2019,19,"Industri Karet, Barang dari Karet dan Plastik",374116.180346208
"177",2019,20,"Industri Barang Galian bukan Logam",145533.907110555
"178",2019,21,"Industri Logam Dasar",262770.637425908
"179",2019,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",8893291.65405186
"180",2019,23,"Industri Mesin dan Perlengkapan YTDL",1809814.72636944
"181",2019,24,"Industri Alat Angkutan",1497426.16957874
"182",2019,25,"Industri Furnitur",80030.183014777
"183",2019,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",148395.961602647
"184",2019,27,"Ketenagalistrikan",347691.957484039
"185",2019,28,"Pengadaan Gas dan Produksi Es",8840.3805257197
"186",2019,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",18980.1708630654
"187",2019,30,"Konstruksi",1535723.21838935
"188",2019,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",110294.930568911
"189",2019,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1191086.23512084
"190",2019,33,"Angkutan Rel",57499.6074602324
"191",2019,34,"Angkutan Darat",877778.965657777
"192",2019,35,"Angkutan Laut",8774.77205570944
"193",2019,36,"Angkutan Sungai Danau dan Penyeberangan",8.51047380675443
"194",2019,37,"Angkutan Udara",151012.238693794
"195",2019,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",10771.9474279819
"196",2019,39,"Penyediaan Akomodasi",28762.5579978657
"197",2019,40,"Penyediaan Makan Minum",330221.562128142
"198",2019,41,"Informasi dan Komunikasi",96795.6614536768
"199",2019,42,"Jasa Perantara Keuangan",65736.0212553438
"200",2019,43,"Asuransi dan Dana Pensiun",6819.04370221274
"201",2019,44,"Jasa Keuangan Lainnya",7202.03858400475
"202",2019,45,"Jasa Penunjang Keuangan",1132.89466076003
"203",2019,46,"Real Estate",15517.1671439287
"204",2019,47,"Jasa Perusahaan",28850.3149826057
"205",2019,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",105650.764237063
"206",2019,49,"Jasa Pendidikan",169811.090545286
"207",2019,50,"Jasa Kesehatan dan Kegiatan Sosial",197688.731509895
"208",2019,51,"Jasa lainnya",40498.2579631685
"209",2019,52,"Lainnya",722.00968472711
"210",2020,1,"Tanaman Pangan",70276.3460680974
"211",2020,2,"Tanaman Hortikultura",49813.2745890132
"212",2020,3,"Perkebunan",53097.0746621469
"213",2020,4,"Peternakan",229713.35825804
"214",2020,5,"Jasa Pertanian, dan Perburuan",0
"215",2020,6,"Kehutanan dan Penebangan Kayu",869.43841615791
"216",2020,7,"Perikanan",67626.4839682717
"217",2020,8,"Pertambangan Minyak, Gas dan Panas Bumi",100197.146202891
"218",2020,9,"Pertambangan Bijih Logam",3983.28386817223
"219",2020,10,"Pertambangan dan Penggalian Lainnya",29027.7689143395
"220",2020,11,"Industri Batubara dan Pengilangan Migas",1803021.89794706
"221",2020,12,"Industri Makanan dan Minuman",767343.976567716
"222",2020,13,"Pengolahan Tembakau",22729.3114431767
"223",2020,14,"Industri Tekstil dan Pakaian Jadi",1437235.438989
"224",2020,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",181479.64944262
