"","Year","emissionEnergyCons","emissionWasteDisp","emissionFert","emissionLand","TotalEmission","CummulativeEmission"
"1",2016,38353880.4644831,325308.321487569,604143.697023211,3040956.58338993,42324289.0663838,42324289.0663838
"2",2017,40271570.5357004,341573.631816697,634329.054650747,3391062.96976794,44638536.1919358,86962825.2583196
"3",2018,42285153.0144984,358652.419152985,666067.334653841,3596986.20708217,46906858.9753874,133869684.233707
"4",2019,44399415.0124291,376585.15643033,699394.711311541,3794968.20340202,49270363.083573,183140047.31728
"5",2020,46619390.5449758,395414.542203526,734390.857803296,3981894.56059576,51731090.5055784,234871137.822858
"6",2021,48950365.3323573,415185.410060964,771139.452799613,4162522.08733011,54299212.282548,289170350.105406
"7",2022,51397889.3851031,435944.835385498,809728.382650512,4340725.3079029,56984287.911042,346154638.016448
"8",2023,53967790.2191054,457742.247458551,850249.95474054,4519830.48888449,59795612.9101889,405950250.926637
"9",2024,56666186.7312994,480629.547166159,892801.120848773,4702861.74724152,62742479.1465559,468692730.073193
"10",2025,59499503.7691986,504661.230591746,937483.711905858,4892734.82425912,65834383.5359553,534527113.609149
"11",2026,62474487.4291115,529894.518794966,984404.685942239,5092423.40974941,69081210.0435981,603608323.652747
"12",2027,65598221.1192309,556389.494077578,1033676.38792542,5305115.08530858,72493402.0865424,676101725.739289
"13",2028,68878142.4257247,584209.243058822,1085416.82184191,5534370.83881874,76082139.3294442,752183865.068733
"14",2029,72418037.015412,613435.45725169,1139763.40965531,5787455.45282614,79958691.3351451,832142556.403878
"15",2030,76034152.4595965,644106.789470491,1196819.40958694,6059694.93700517,83934773.5956591,916077329.999537
