,year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
29,2016,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3560990.424,3327.785141,1548.631807,317.7059528,50023.87266,0,0,6903.824237,2679.073918,2573545.113,0,0,33563.41949,889080.9976,0,0,0
30,2016,30,Konstruksi,159857.161,149.376899,69.51464925,14.26111602,0,0,0,309.8973676,120.25769,117182.5954,0,0,1528.260991,40482.99688,0,0,0
31,2016,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",11480.84598,10.72815981,4.992500659,1.024224849,0,0,0,22.25664416,8.636835586,8415.984126,0,0,109.7587931,2907.464697,0,0,0
32,2016,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",123983.0471,115.8546979,53.91461965,11.06072827,0,0,0,240.3521975,93.27023418,90885.23249,0,0,1185.298508,31398.06361,0,0,0
33,2016,33,Angkutan Rel,381585.1485,1898.433575,0,0,0,0,0,0,0,0,0,0,265780.7005,113906.0145,0,0,0
34,2016,34,Angkutan Darat,171038.8193,850.9393995,0,0,0,0,0,0,0,0,0,0,119131.5159,51056.36397,0,0,0
35,2016,35,Angkutan Laut,102010.4711,0.510049805,0,0,0,0,0,0,0,0,0,0,71406.97276,30602.98833,0,0,0
36,2016,36,Angkutan Sungai Danau dan Penyeberangan,0.885866514,0.000827789,0.000385223,7.90296E-05,0,0,0,0.001717331,0.000666422,0.649380588,0,0,0.008469031,0.2243411,0,0,0
37,2016,37,Angkutan Udara,295249.5861,408.5557004,0,0,0,0,0,0,0,0,0,147420.5152,103160.3143,44260.20087,0,0,0
38,2016,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",1121.277601,1.047766455,0.487592915,0.100030989,0,0,0,2.17369666,0.843517133,821.9476601,0,0,10.71959997,283.9577367,0,0,0
39,2016,39,Penyediaan Akomodasi,14309.91475,0,0,0,0,0,0,0,0,0,0,0,10016.94032,4292.974424,0,0,0
40,2016,40,Penyediaan Makan Minum,14697866.36,344.859765,0,0,59.45858018,0,0,136.7547344,142.7005924,0,0,0,10288027.81,4409154.776,0,0,0
41,2016,41,Informasi dan Komunikasi,10075.69551,9.415131238,4.38146427,0.898869101,0,0,0,19.53263461,7.579765956,7385.944693,0,0,96.32532137,2551.617627,0,0,0
42,2016,42,Jasa Perantara Keuangan,6842.615729,6.394012706,2.975544101,0.610440822,0,0,0,13.26502103,5.147577725,5015.949648,0,0,65.41654208,1732.856943,0,0,0
43,2016,43,Asuransi dan Dana Pensiun,709.8105916,0.663275291,0.308664523,0.063323352,0,0,0,1.376031155,0.533977843,520.3235616,0,0,6.785907066,179.7558507,0,0,0
44,2016,44,Jasa Keuangan Lainnya,749.6769626,0.700528017,0.326000605,0.066879895,0,0,0,1.453315672,0.563968603,549.5474312,0,0,7.167036191,189.8518024,0,0,0
45,2016,45,Jasa Penunjang Keuangan,117.9255659,0.110194346,0.051280495,0.010520331,0,0,0,0.22860923,0.088713299,86.44482233,0,0,1.127387983,29.86403793,0,0,0
46,2016,46,Real Estate,1615.219579,1.509325516,0.702385942,0.144096353,0,0,0,3.131247251,1.21510087,1184.029675,0,0,15.44176726,409.0459808,0,0,0
47,2016,47,Jasa Perusahaan,3003.098176,2.806214561,1.305911572,0.267911248,0,0,0,5.821773725,2.259177175,2201.408034,0,0,28.710117,760.5190367,0,0,0
48,2016,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",10997.44405,10.27644979,4.782291023,0.981099781,0,0,0,21.31952639,8.27318094,8061.628448,0,0,105.1373904,2785.045665,0,0,0
49,2016,49,Jasa Pendidikan,17676.04914,16.51720442,7.686514314,1.576908948,0,0,0,34.26659816,13.29737638,12957.35081,0,0,168.9859635,4476.367763,0,0,0
50,2016,50,Jasa Kesehatan dan Kegiatan Sosial,20577.90052,19.22880995,8.948398235,1.835787806,0,0,0,39.89209595,15.4803874,15084.54032,0,0,196.7281444,5211.246575,0,0,0
51,2016,51,Jasa lainnya,4215.562014,3.939189069,1.833157258,0.376077109,0,0,0,8.172243041,3.171292088,3090.199368,0,0,40.30147253,1067.569215,0,0,0
52,2016,52,Lainnya,75.15574302,0.07022852,0.032681833,0.006704765,0,0,0,0.145696113,0.056538325,55.09258998,0,0,0.718501377,19.03280211,0,0,0
53,2017,1,Tanaman Pangan,24207463.67,0,0,7418984.135,194354.4631,0,0,7418984.135,9167856.064,5362.397124,0,0,69.9348083,1852.543932,0,0,0
54,2017,2,Tanaman Hortikultura,78274877.27,0,0,0,23480914.09,0,0,0,54788799.52,3800.977096,0,0,49.57122691,1313.121146,0,0,0
55,2017,3,Perkebunan,369375.3082,0,0,0,57787.28166,0,0,0,117480.8421,4049.07289,0,0,74488.87371,115569.2378,0,0,0
56,2017,4,Peternakan,228399.8372,0,0,0,29961.22192,0,0,0,58536.84831,17528.15816,0,0,228.5970906,122145.0117,0,0,0
57,2017,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2017,6,Kehutanan dan Penebangan Kayu,16425.80343,0,0,0,4655.678887,0,0,0,11680.0365,66.31380578,0,0,0.864845178,22.90938841,0,0,0
59,2017,7,Perikanan,58710.74843,0,0,0,25850.27727,0,0,0,25850.27727,5160.203712,0,0,67.2978612,1782.692302,0,0,0
60,2017,8,"Pertambangan Minyak, Gas dan Panas Bumi",10429.76301,9.745986012,4.535432211,0.930456036,0,0,0,20.21902604,7.846124618,7645.49233,0,0,99.71026541,2641.283385,0,0,0
61,2017,9,Pertambangan Bijih Logam,414.6295772,0.387446393,0.18030365,0.036989776,0,0,0,0.803796425,0.311918433,303.9424051,0,0,3.963927577,105.0027899,0,0,0
62,2017,10,Pertambangan dan Penggalian Lainnya,125346911.6,0,125343902.7,0,0,0,0,0,0,2214.949265,0,0,28.88671776,765.1971172,0,0,0
63,2017,11,Industri Batubara dan Pengilangan Migas,187680.727,175.3763474,81.61385971,16.74330137,0,0,0,363.8358326,141.1888623,137578.5392,0,0,1794.2589,47529.17067,0,0,0
64,2017,12,Industri Makanan dan Minuman,79874.66357,74.63806737,34.7338786,7.125747995,0,0,0,154.8441611,60.08828425,58551.77412,0,0,763.6150409,20227.84426,0,0,0
65,2017,13,Pengolahan Tembakau,2365.9491,2.210837084,1.028844256,0.211070148,0,0,0,4.5866034,1.779861294,1734.34868,0,0,22.61886608,599.164338,0,0,0
66,2017,14,Industri Tekstil dan Pakaian Jadi,149605.3203,139.7971707,65.05658742,13.34653272,0,0,0,290.0232599,112.5454132,109667.5282,0,0,1430.251693,37886.77141,0,0,0
67,2017,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",18890.65689,17.65218229,8.214692292,1.685266071,0,0,0,36.62122365,14.21110413,13847.71373,0,0,180.5978153,4783.960877,0,0,0
68,2017,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",29379.01325,27.45292027,12.7756041,2.620949315,0,0,0,56.95383813,22.10130748,21536.15766,0,0,280.8682429,7440.082725,0,0,0
69,2017,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",32108.99979,30.00392844,13.96275178,2.864495832,0,0,0,62.24616059,24.15502764,23537.3624,0,0,306.9673673,8131.437657,0,0,0
70,2017,18,"Industri Kimia, Farmasi dan Obat Tradisional",119642.9455,111.7991342,52.02730577,10.67354078,0,0,0,231.9385234,90.0052532,87703.73995,0,0,1143.806417,30298.95539,0,0,0
71,2017,19,"Industri Karet, Barang dari Karet dan Plastik",40889.78024,38.20903946,17.78111606,3.647843466,0,0,0,79.26848685,30.76065211,29974.07526,0,0,390.9130858,10355.12476,0,0,0
72,2017,20,Industri Barang Galian bukan Logam,15906.42579,14.86359787,6.916985156,1.419037985,0,0,0,30.83602543,11.96612031,11660.13612,0,0,152.0680706,4028.219829,0,0,0
73,2017,21,Industri Logam Dasar,28720.05543,26.83716383,12.48905315,2.562162621,0,0,0,55.67638961,21.60558527,21053.1115,0,0,274.5684967,7273.205075,0,0,0
74,2017,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",972010.5257,908.2853543,422.6834153,86.71463196,0,0,0,1884.329119,731.2261756,712528.081,0,0,9292.581955,246156.6241,0,0,0
75,2017,23,Industri Mesin dan Perlengkapan YTDL,197807.3903,184.839105,86.01748757,17.64671739,0,0,0,383.4672728,148.8069704,145001.8457,0,0,1891.071482,50093.69562,0,0,0
76,2017,24,Industri Alat Angkutan,163664.24,152.9343853,71.17017574,14.6007517,0,0,0,317.27773,123.1216876,119973.3581,0,0,1564.657299,41447.1199,0,0,0
77,2017,25,Industri Furnitur,8747.062734,8.17360385,3.803701969,0.780339622,0,0,0,16.95696145,6.580259227,6411.996228,0,0,83.62337153,2215.148269,0,0,0
78,2017,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",16219.2326,15.15589702,7.053010692,1.446943987,0,0,0,31.44242935,12.2014393,11889.4378,0,0,155.0585557,4107.436532,0,0,0
79,2017,27,Ketenagalistrikan,147.7689491,0,0,1.10454528,144.5033369,0,0,0,2.161066852,0,0,0,0,0,0,0,0
80,2017,28,Pengadaan Gas dan Produksi Es,71536.29192,46213.26234,0,12144.69732,12216.114,0,0,0,0,708.2888564,0,0,9.237295234,244.6921019,0,0,0
81,2017,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3739039.569,3494.174048,1626.063234,333.5912169,52525.06102,0,0,7249.014721,2813.027331,2702222.097,0,0,35241.58693,933534.9537,0,0,0
82,2017,30,Konstruksi,167850.0172,156.8457423,72.99038094,14.97417166,0,0,0,325.3922326,126.2705732,123041.7239,0,0,1604.674024,42507.14628,0,0,0
