"","year","Income.per.capita"
"2",2016,13.3183702804174
"3",2017,13.7962885186077
"4",2018,14.293984629291
"5",2019,14.8122419258612
"6",2020,15.3519214596631
"7",2021,15.9376234049164
"8",2022,16.5477799802662
"9",2023,17.1834374260478
"10",2024,17.8456881098362
"11",2025,18.535672579381
"12",2026,19.2865285007499
"13",2027,20.0694434411526
"14",2028,20.8858192289078
"15",2029,21.7427391495138
"16",2030,22.630445859525
