"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"32",2017,"9","Semak.belukar",0,0,0,0,0,0,0,692.98886852082,2694.4616112356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2017,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2017,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2017,"12","Pertanian.lahan.kering",0,0,0,0,0,0,53345.7080884963,0,0,0,0,719885.145377344,49066.5901338098,53392.2136269651,8502.0716024689,13955.2624429351,0,0,0,1968.23023047195,0,0,27.4312498880754
"36",2017,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,29980.9348087051,0,0,0,0,3303.74146819407,0,0,0,0,53351.1203734627,605881.22140382,51038.4427669428,0,13884.1561487102,0,0,0,0,0,0,0
"37",2017,"14","Sawah",0,0,0,0,0,0,19654.3323815603,21389.4158162106,588.910931516657,0,0,57705.5501901567,52411.4390075583,702147.375673963,1663.06709777692,17149.9923677734,0,1854.38664717128,377.470083760389,2742.27939500823,0,0,0
"38",2017,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,13587.5678521531,54350.2714086119,0,0,0,0,0,0,0,0
"39",2017,"16","Pemukiman",0,0,0,0,0,0,4209.08925681547,0,0,0,0,21449.495787495,15857.7365440591,17849.8887031125,0,237457.205124871,0,0,0,0,0,0,0
"40",2017,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2017,"18","Lahan.terbuka",0,0,0,0,0,0,2245.85013466586,0,0,0,0,0,0,0,0,0,0,8983.40053866255,0,0,0,0,0
"42",2017,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,335.077597523315,0,0,0,0,0,0,1340.31039009309,0,0,0,0
"43",2017,"20","Tubuh.air",0,0,0,0,0,0,0,3530.12948663677,0,0,0,1968.63252442902,0,398.021315309313,0,0,0,0,0,23587.1333054987,0,0,0
"44",2017,"21","Rawa",0,0,0,0,0,0.710951590093828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6829136818924,0,0
"45",2017,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2017,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,73.1500000422152,0,0,0,0,0,0,0,0,0,0,292.600000168185
"47",2018,"1","Hutan.lahan.kering.primer",12732.3361124578,0,0,0,0,0,0,0,0,0,0,0,451.077012394539,0,0,0,0,0,0,0,0,0,0
"48",2018,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,124615.426204578,0,0,0,0,0,0,0,0,0,19839.7838633355,13848.5045031329,0,0,0,0,0,0,0,0,0,0
"49",2018,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2018,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2018,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2018,"6","Hutan.mangrove.sekunder",0,0,0,0,0,999.946680606401,0,0,0,0,0,0,0,0,0,46.3323472783632,0,0,0,0,0,0,0
"53",2018,"7","Hutan.tanaman",0,0,0,0,0,0,352054.164121253,0,0,0,0,32978.1139187149,27008.6696686435,31101.4513722374,0,0,0,0,0,0,0,0,0
"54",2018,"8","Perkebunan",0,0,0,0,0,0,0,125423.50926982,0,0,0,12090.658020507,7785.35252866446,11481.7133497927,0,0,0,0,0,0,0,0,0
"55",2018,"9","Semak.belukar",0,0,0,0,0,0,0,671.697088099895,2611.67545465167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2018,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",2018,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2018,"12","Pertanian.lahan.kering",0,0,0,0,0,0,53106.9288347661,0,40.6111647610087,0,0,736360.096395949,51896.059887505,55564.0414719487,8418.94249656168,13128.5594226936,0,0,109.876679336943,2093.77314763183,0,0,24.0023436423944
"59",2018,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,28323.2595825526,0,0,0,0,3920.36685055711,0,0,0,0,56265.3971022795,618863.337103002,53200.6371990682,0,13096.1512506718,0,0,0,0,0,0,0
"60",2018,"14","Sawah",0,0,0,0,0,0,19578.2894334224,20785.6574438258,513.389725865061,0,0,59990.5213036448,54605.2822994487,706488.339757638,1067.07850586273,15763.8986999058,0,1721.98495610634,308.558434060476,2287.42413726809,0,0,0
"61",2018,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,12903.0820217716,51612.3280870859,0,0,0,0,0,0,0,0
"62",2018,"16","Pemukiman",0,0,0,0,0,0,1205.97673619114,0,0,0,0,21761.7919971981,16110.3329522131,17421.5093768616,0,225991.176928132,0,0,0,0,0,0,0
"63",2018,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2018,"18","Lahan.terbuka",0,0,0,0,0,0,2167.55743716608,0,0,0,0,0,0,0,0,0,0,8670.22974866716,0,0,0,0,0
"65",2018,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,343.556094770724,0,0,0,0,0,0,1374.22437908267,0,0,0,0
"66",2018,"20","Tubuh.air",0,0,0,0,0,0,0,3090.68918790745,0,0,0,2444.53626489166,0,124.303133396472,0,0,0,0,0,22638.1143447832,0,0,0
"67",2018,"21","Rawa",0,0,0,0,0,0.809220972438197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8736927095397,0,0
"68",2018,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2018,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,64.0062500112376,0,0,0,0,0,0,0,0,0,0,256.025000044732
"70",2019,"1","Hutan.lahan.kering.primer",12228.5267829892,0,0,0,0,0,0,0,0,0,0,0,503.809329468497,0,0,0,0,0,0,0,0,0,0
"71",2019,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,120392.118177226,0,0,0,0,0,0,0,0,0,19296.7206752535,13249.8469346509,0,0,0,0,0,0,0,0,0,0
"72",2019,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2019,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2019,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2019,"6","Hutan.mangrove.sekunder",0,0,0,0,0,952.340552065172,0,0,0,0,0,0,0,0,0,48.4153495138635,0,0,0,0,0,0,0
"76",2019,"7","Hutan.tanaman",0,0,0,0,0,0,343228.535071634,0,0,0,0,32454.9373187087,26495.4151537377,29854.3958692751,0,0,0,0,0,0,0,0,0
"77",2019,"8","Perkebunan",0,0,0,0,0,0,0,119975.829290468,0,0,0,11857.3342980686,7585.09458027344,10553.2948208436,0,0,0,0,0,0,0,0,0
"78",2019,"9","Semak.belukar",0,0,0,0,0,0,0,647.619347272617,2518.05699800478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2019,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2019,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2019,"12","Pertanian.lahan.kering",0,0,0,0,0,0,52487.523861949,0,283.879207541351,0,0,753471.109319003,54990.9569455802,57908.5843302655,8291.34795510258,12155.3229397655,0,0,357.368458034121,2171.36614338234,0,0,21.0020506790315
"82",2019,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,26556.243054216,0,0,0,0,4104.4539644414,0,0,0,0,59498.8903866129,632381.338270323,55695.7494722889,0,12331.9408071224,0,0,0,0,0,0,0
