"","year","id.sector","sector","land.requirement"
"81",2017,"28","Pengadaan Gas dan Produksi Es",209.409054142471
"82",2017,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",283.550242902587
"83",2017,"30","Konstruksi",191.07584943331
"84",2017,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",278.464243927615
"85",2017,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",278.464244031536
"86",2017,"33","Angkutan Rel",242.282179713268
"87",2017,"34","Angkutan Darat",278.464244069926
"88",2017,"35","Angkutan Laut",329.772970182694
"89",2017,"36","Angkutan Sungai Danau dan Penyeberangan",329.772966347627
"90",2017,"37","Angkutan Udara",558.292218847676
"91",2017,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",234.339045070151
"92",2017,"39","Penyediaan Akomodasi",278.464244183493
"93",2017,"40","Penyediaan Makan Minum",246.406057809251
"94",2017,"41","Informasi dan Komunikasi",163.184682170039
"95",2017,"42","Jasa Perantara Keuangan",223.137223711079
"96",2017,"43","Asuransi dan Dana Pensiun",223.137223427449
"97",2017,"44","Jasa Keuangan Lainnya",223.13722383984
"98",2017,"45","Jasa Penunjang Keuangan",223.137223904923
"99",2017,"46","Real Estate",246.406057580141
"100",2017,"47","Jasa Perusahaan",234.33904449905
"101",2017,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",9928.70765874433
"102",2017,"49","Jasa Pendidikan",219.581308816687
"103",2017,"50","Jasa Kesehatan dan Kegiatan Sosial",177.576623639659
"104",2017,"51","Jasa lainnya",305.354035850738
"105",2017,"52","Lainnya",177988.88044084
"106",2017,"53","lainnya (tidak menghasilkan output)",656636.293968899
"107",2018,"1","Tanaman Pangan",1727063.57761986
"108",2018,"2","Tanaman Hortikultura",600909.986879618
"109",2018,"3","Perkebunan",108897.531394721
"110",2018,"4","Peternakan",1429.8926452849
"111",2018,"5","Jasa Pertanian dan Perburuan ",136587.375612239
"112",2018,"6","Kehutanan dan Penebangan Kayu",263607.226945538
"113",2018,"7","Perikanan",38826.5158183986
"114",2018,"8","Pertambangan Minyak Gas dan Panas Bumi",539.036505257669
"115",2018,"9","Pertambangan Bijih Logam",385.026075471481
"116",2018,"10","Pertambangan dan Penggalian Lainnya",402.869371385846
"117",2018,"11","Industri Batubara dan Pengilangan Migas",465.727540365149
"118",2018,"12","Industri Makanan dan Minuman",12786.4919127903
"119",2018,"13","Pengolahan Tembakau",622.513010820258
"120",2018,"14","Industri Tekstil dan Pakaian Jadi",670.703074682924
"121",2018,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",1801.2529242703
"122",2018,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",198.392478042481
"123",2018,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",879.353580798907
"124",2018,"18","Industri Kimia Farmasi dan Obat Tradisional",1353.30798090594
"125",2018,"19","Industri Karet Barang dari Karet dan Plastik",991.96239057057
"126",2018,"20","Industri Barang Galian bukan Logam",12483.5862999263
"127",2018,"21","Industri Logam Dasar",439.759014641394
"128",2018,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",57.8297381291354
"129",2018,"23","Industri Mesin dan Perlengkapan YTDL",1748.27834251552
"130",2018,"24","Industri Alat Angkutan",1429.89264591944
"131",2018,"25","Industri Furnitur",360.250584391001
"132",2018,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1317.06061427093
"133",2018,"27","Ketenagalistrikan",278.179550903571
"134",2018,"28","Pengadaan Gas dan Produksi Es",171.780864726246
"135",2018,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",270.661595470858
"136",2018,"30","Konstruksi",149.723613418817
"137",2018,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",263.412122663206
"138",2018,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",263.41212276151
"139",2018,"33","Angkutan Rel",213.778393749208
"140",2018,"34","Angkutan Darat",263.412122797824
