year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
2016,28,Pengadaan Gas dan Produksi Es,0.026681145,0.017236325,0,0.004529651,0.004556288,0,0,0,0,0.000264173,0,0,3.44527E-06,9.12637E-05,0,0,0
2016,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",7.50998078,0.007018161,0.003266,0.000670029,0.105498268,0,0,0.014559878,0.005650056,5.42749967,0,0,0.070783857,1.875034867,0,0,0
2016,30,Konstruksi,0.03542183,3.30996E-05,1.54034E-05,3.16004E-06,0,0,0,6.86684E-05,2.66472E-05,0.025965818,0,0,0.000338639,0.008970395,0,0,0
2016,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",0.473615918,0.000442566,0.000205954,4.2252E-05,0,0,0,0.000918147,0.000356293,0.347182085,0,0,0.004527847,0.119940775,0,0,0
2016,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",0.313914946,0.000293335,0.000136507,2.80049E-05,0,0,0,0.000608552,0.000236153,0.230113983,0,0,0.003001079,0.079497332,0,0,0
2016,33,Angkutan Rel,0.53518415,0.002662608,0,0,0,0,0,0,0,0,0,0,0.37276508,0.159756463,0,0,0
2016,34,Angkutan Darat,0.210104125,0.001045294,0,0,0,0,0,0,0,0,0,0,0.146341182,0.062717649,0,0,0
2016,35,Angkutan Laut,0.353772397,1.76885E-06,0,0,0,0,0,0,0,0,0,0,0.24763944,0.106131189,0,0,0
2016,36,Angkutan Sungai Danau dan Penyeberangan,0.000207561,1.93953E-07,9.02588E-08,1.85168E-08,0,0,0,4.02375E-07,1.56144E-07,0.000152152,0,0,1.98432E-06,5.25637E-05,0,0,0
2016,37,Angkutan Udara,0.32312904,0.000447134,0,0,0,0,0,0,0,0,0,0.161340953,0.112901406,0.048439547,0,0,0
2016,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",0.013027927,1.21738E-05,5.66526E-06,1.16224E-06,0,0,0,2.52558E-05,9.80068E-06,0.009550065,0,0,0.000124549,0.003299255,0,0,0
2016,39,Penyediaan Akomodasi,0.015948547,0,0,0,0,0,0,0,0,0,0,0,0.011163983,0.004784564,0,0,0
2016,40,Penyediaan Makan Minum,5.0110617,0.000117576,0,0,2.02717E-05,0,0,4.66249E-05,4.86521E-05,0,0,0,3.507579999,1.50324858,0,0,0
