"","year","id.sector","sector","Temission","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"1",2016,1,"Tanaman Pangan",11105.3636503446,0,0,0.000659229918545208,0,0,0,3025.01037628173,8067.71560582922,10.6728841392456,0,0,0.193454054166931,1.77067081033499,0,0,0
"2",2016,2,"Tanaman Hortikultura",48223.1011689422,0,0,0,0,0,0,0,48214.1438001786,7.5651571489662,0,0,0.137124164544795,1.25508745007498,0,0,0
"3",2016,3,"Perkebunan",428.042453200619,0,0,0,0,0,0,0,103.40422094927,8.06059012016486,0,0,206.093491138029,110.484150993156,0,0,0
"4",2016,4,"Peternakan",203.778204810042,0,0,0,0,0,0,0,51.5124318248529,34.8866306535323,0,0,0.632346425665983,116.746795905991,0,0,0
"5",2016,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",10.4361915732105,0,0,0,0,0,0,0,10.2798944673096,0.132004408803125,0,0,0.00239267921563687,0.021900017882115,0,0,0
"7",2016,7,"Perikanan",34.908764628028,0,0,0,0,0,0,0,22.748246239159,10.270452747092,0,0,0.18615968243756,1.70390595933949,0,0,0
"8",2016,8,"Pertambangan Minyak, Gas dan Panas Bumi",18.0616266967404,0.0212462505147204,0.00789165242284188,8.26776688184426e-11,0,0,0,0.00824408681376493,0.00690458999160901,15.2169697361288,0,0,0.275819024097236,2.52455135668873,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",0.718030219885431,0.000844633220748543,0.000313728382253366,3.28680609549056e-12,0,0,0,0.000327739221224771,0.000274488248103837,0.604942417927085,0,0,0.0109650364192759,0.100362176463453,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",218103.617252117,0,218098.397510618,0,0,0,0,0,0,4.40845584939643,0,0,0.0799065787237092,0.731379071423943,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",325.014125602881,0.382320576606511,0.142008167633562,1.48776246393445e-09,0,0,0,0.148350129922876,0.124246244109058,273.825286954808,0,0,4.96328932292493,45.4286242053878,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",138.322079233471,0.162711011399266,0.060436957873692,6.33173703014643e-10,0,0,0,0.0631360202875161,0.0528776981168307,116.536728882848,0,0,2.11231588100335,19.3338727813093,0,0,0
"13",2016,13,"Pengolahan Tembakau",4.0972060847945,0.00481962496233471,0.00179018904934993,1.87550907483146e-11,0,0,0,0.0018701373483169,0.00156627797715126,3.45190729726756,0,0,0.0625684166109593,0.572684141560073,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",259.077351722568,0.304757838804413,0.11319846460977,1.18593479113117e-09,0,0,0,0.118253810409428,0.0990399658163722,218.273375183468,0,0,3.95636913095684,36.2123573273174,0,0,0
"15",2016,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",32.713685066326,0.0384817580252074,0.014293564821917,1.497479305045e-10,0,0,0,0.0149319030991516,0.0125057718366013,27.5613688613028,0,0,0.499570544774702,4.57253266231587,0,0,0
"16",2016,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",50.876780658688,0.0598473684343468,0.0222295519756954,2.32890076469822e-10,0,0,0,0.0232223045946995,0.019449151313999,42.8638264165691,0,0,0.776939100144392,7.11126676542288,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",55.6044066917003,0.0654085689081767,0.0242951899179197,2.5453093449744e-10,0,0,0,0.0253801921458813,0.0212564259249396,46.84686423971,0,0,0.849134657023387,7.77206741781555,0,0,0
"18",2016,18,"Industri Kimia, Farmasi dan Obat Tradisional",207.190386242763,0.243722169894376,0.0905275333741652,9.48420561655254e-10,0,0,0,0.0945704149377453,0.0792046414881538,174.558465308032,0,0,3.1640035028558,28.9598926712319,0,0,0
"19",2016,19,"Industri Karet, Barang dari Karet dan Plastik",70.8104348999748,0.0832957221517972,0.0309391479252378,3.24137010682796e-10,0,0,0,0.032320863587619,0.0270693790941922,59.6579844643504,0,0,1.08134584874001,9.89747947380134,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",27.5457766764514,0.0324026446681734,0.012035554655863,1.26091666050007e-10,0,0,0,0.0125730521465384,0.0105301862991083,23.2073919514064,0,0,0.420651437972686,3.85019184917655,0,0,0
"21",2016,21,"Industri Logam Dasar",49.735636443125,0.0585050178097682,0.0217309527263164,2.27666452644985e-10,0,0,0,0.022701438332868,0.0190129152505452,41.9024093036845,0,0,0.759512691705357,6.95176412338804,0,0,0
"22",2016,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",1683.26842635823,1.980062110024,0.73546915664587,7.7052145864084e-09,0,0,0,0.76831457486461,0.643479046722321,1418.15823855035,0,0,25.70518494359,235.277677968327,0,0,0
"23",2016,23,"Industri Mesin dan Perlengkapan YTDL",342.550765026976,0.402949274130638,0.149670437768406,1.56803698676727e-09,0,0,0,0.156354590433495,0.1309501422094,288.59995349008,0,0,5.23109126828746,47.8797958224981,0,0,0
