"","year","id.sector","sector","labour"
"81",2017,28,"Pengadaan Gas dan Produksi Es",8018.4824553225
"82",2017,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",17215.5365293892
"83",2017,30,"Konstruksi",1392945.90721202
"84",2017,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",100036.439689233
"85",2017,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1080347.46752445
"86",2017,33,"Angkutan Rel",52153.7625095008
"87",2017,34,"Angkutan Darat",796170.375155985
"88",2017,35,"Angkutan Laut",7958.94807074404
"89",2017,36,"Angkutan Sungai Danau dan Penyeberangan",7.71736016878043
"90",2017,37,"Angkutan Udara",136972.395414502
"91",2017,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",9770.3552001149
"92",2017,39,"Penyediaan Akomodasi",26088.4575885406
"93",2017,40,"Penyediaan Makan Minum",299520.584534516
"94",2017,41,"Informasi dan Komunikasi",87796.4847069616
"95",2017,42,"Jasa Perantara Keuangan",59623.2000166503
"96",2017,43,"Asuransi dan Dana Pensiun",6185.02495550826
"97",2017,44,"Jasa Keuangan Lainnya",6532.3125329921
"98",2017,45,"Jasa Penunjang Keuangan",1027.53001323449
"99",2017,46,"Real Estate",14074.5149202643
"100",2017,47,"Jasa Perusahaan",26167.8375033709
"101",2017,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",95828.1975512937
"102",2017,49,"Jasa Pendidikan",154023.660080896
"103",2017,50,"Jasa Kesehatan dan Kegiatan Sosial",179309.497093973
"104",2017,51,"Jasa lainnya",36733.0949906824
"105",2017,52,"Lainnya",654.884067779691
"106",2018,1,"Tanaman Pangan",63742.3052445265
"107",2018,2,"Tanaman Hortikultura",45182.1037672152
"108",2018,3,"Perkebunan",47934.936073635
"109",2018,4,"Peternakan",208356.293307289
"110",2018,5,"Jasa Pertanian, dan Perburuan",0
"111",2018,6,"Kehutanan dan Penebangan Kayu",786.027347538503
"112",2018,7,"Perikanan",61339.075717957
"113",2018,8,"Pertambangan Minyak, Gas dan Panas Bumi",90881.6659564146
"114",2018,9,"Pertambangan Bijih Logam",3612.94769704959
"115",2018,10,"Pertambangan dan Penggalian Lainnya",26329.0230796648
"116",2018,11,"Industri Batubara dan Pengilangan Migas",1635380.31030683
"117",2018,12,"Industri Makanan dan Minuman",696001.193671992
"118",2018,13,"Pengolahan Tembakau",20616.1438227688
"119",2018,14,"Industri Tekstil dan Pakaian Jadi",1303614.2466874
