"","year","id.sector","sector","Temission","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"1",2016,1,"Tanaman Pangan",11105.2980552591,0,0,0.000659226024729187,0,0,0,3024.99250871605,8067.66795295517,10.6728210986492,0,0,0.193452911508695,1.77066035166773,0,0,0
"2",2016,2,"Tanaman Hortikultura",48223.0965844305,0,0,0,0,0,0,0,48214.1392165184,7.56515642975589,0,0,0.137124151508567,1.25508733075534,0,0,0
"3",2016,3,"Perkebunan",426.20998808756,0,0,0,0,0,0,0,102.961543766164,8.02608244440647,0,0,205.211197501696,110.011164375293,0,0,0
"4",2016,4,"Peternakan",203.777763385017,0,0,0,0,0,0,0,51.5123202384517,34.886555081997,0,0,0.632345055875052,116.746543008693,0,0,0
"5",2016,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",10.4050153820464,0,0,0,0,0,0,0,10.2491851848274,0.131610070058528,0,0,0.0023855315292325,0.0218345956311721,0,0,0
"7",2016,7,"Perikanan",34.908692507694,0,0,0,0,0,0,0,22.7481992420471,10.2704315286819,0,0,0.186159297837915,1.70390243912707,0,0,0
"8",2016,8,"Pertambangan Minyak, Gas dan Panas Bumi",18.0616086732437,0.021246229313323,0.00789164454784958,8.26775863153151e-11,0,0,0,0.00824407858708226,0.00690458310159534,15.2169545512837,0,0,0.275818748860495,2.52454883746697,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",0.718028733015328,0.000844631471713684,0.000313727732596375,3.28679928929552e-12,0,0,0,0.000327738542554659,0.000274487679703848,0.604941165234969,0,0,0.0109650137132889,0.100361968637215,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",218103.47337018,0,218098.253632124,0,0,0,0,0,0,4.4084529411587,0,0,0.0799065260097124,0.731378588936586,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",325.011638891492,0.382317651438474,0.142007081116701,1.48775108093424e-09,0,0,0,0.148348994883108,0.124245293490221,273.823191893684,0,0,4.96325134836595,45.4282766270264,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",138.321641256594,0.162710496198359,0.0604367665087977,6.33171698161602e-10,0,0,0,0.0631358203764307,0.0528775306872402,116.536359886135,0,0,2.11230919266033,19.3338115633948,0,0,0
"13",2016,13,"Pengolahan Tembakau",4.09720396473298,0.0048196224684642,0.00179018812303311,1.87550810436658e-11,0,0,0,0.00187013638063157,0.00156627716669515,3.45190551110995,0,0,0.0625683842355088,0.572683845229943,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",259.077231218603,0.304757697053203,0.113198411958067,1.18593423952045e-09,0,0,0,0.118253755406345,0.0990399197501742,218.273273658548,0,0,3.9563672907413,36.2123404839592,0,0,0
"15",2016,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",32.7136738176168,0.0384817447931272,0.0142935599070273,1.49747879013177e-10,0,0,0,0.0149318979647672,0.0125057675364502,27.5613593842347,0,0,0.499570372995712,4.57253109003535,0,0,0
"16",2016,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",50.8767403829369,0.0598473210571801,0.022229534378043,2.32889892106294e-10,0,0,0,0.0232222862111511,0.0194491359174042,42.863792484139,0,0,0.776938485093569,7.11126113590767,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",55.604318892231,0.0654084656279156,0.0242951515557663,2.54530532592586e-10,0,0,0,0.0253801520705072,0.0212563923610006,46.8467902684177,0,0,0.849133316238066,7.77205514570556,0,0,0
"18",2016,18,"Industri Kimia, Farmasi dan Obat Tradisional",207.189360703615,0.24372096353229,0.0905270852861474,9.48415867217289e-10,0,0,0,0.0945699468385031,0.07920424944554,174.557601288504,0,0,3.16398784185185,28.9597493272081,0,0,0
"19",2016,19,"Industri Karet, Barang dari Karet dan Plastik",70.8101471356601,0.0832953836489137,0.0309390221926009,3.24135693432523e-10,0,0,0,0.032320732239871,0.027069269087788,59.6577420221308,0,0,1.08134145429239,9.89743925174365,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",27.5457534309673,0.0324026173240484,0.0120355444992318,1.26091559643066e-10,0,0,0,0.0125730415363208,0.0105301774128358,23.2073723670227,0,0,0.420651082990998,3.85018860005513,0,0,0
"21",2016,21,"Industri Logam Dasar",49.7356246428505,0.0585050039288707,0.0217309475704316,2.27666398628855e-10,0,0,0,0.022701432946726,0.0190129107395419,41.902399361921,0,0,0.759512511503415,6.95176247401284,0,0,0
"22",2016,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",1683.26775427211,1.98006131943574,0.735468862991807,7.70521150991288e-09,0,0,0,0.76831426809621,0.643478789797561,1418.15767231596,0,0,25.7051746801657,235.277584027956,0,0,0
"23",2016,23,"Industri Mesin dan Perlengkapan YTDL",342.550312995225,0.402948742396704,0.149670240262527,1.5680349175776e-09,0,0,0,0.156354384107173,0.130949969406919,288.599572652098,0,0,5.23108436531253,47.8797326400734,0,0,0
