"","year","id.sector","sector","Tconsumption","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"1",2016,1,"Tanaman Pangan",23054597.6168098,0,0,7065659.42903737,185098.447421124,0,0,7065659.42903737,8731242.3733281,5107.0161513465,0,0,66.6042046636685,1764.31762978864,0,0,0
"2",2016,2,"Tanaman Hortikultura",74547495.4109039,0,0,0,22362773.2945206,0,0,0,52179804.3468814,3619.97785937928,0,0,47.2106880179881,1250.5914544765,0,0,0
"3",2016,3,"Perkebunan",350351.42153819,0,0,0,54811.0710841977,0,0,0,111430.242171173,3840.53403469961,0,0,70652.4832895324,109617.090933388,0,0,0
"4",2016,4,"Peternakan",217523.20574981,0,0,0,28534.4381988458,0,0,0,55749.2643273287,16693.44952209,0,0,217.711065659861,116328.342616985,0,0,0
"5",2016,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016,6,"Kehutanan dan Penebangan Kayu",15599.1089110127,0,0,0,4421.3631502805,0,0,0,11092.1917584713,62.9762971997923,0,0,0.821318371305538,21.7563814398956,0,0,0
"7",2016,7,"Perikanan",55914.8884913442,0,0,0,24619.2632489687,0,0,0,24619.2632489687,4914.47005561775,0,0,64.0930750359061,1697.79885225322,0,0,0
"8",2016,8,"Pertambangan Minyak, Gas dan Panas Bumi",9933.09818389838,9.281882618315,4.3194551438695,0.886147763293839,0,0,0,19.2561969772503,7.47249253419409,7281.41434672292,0,0,94.96206728507,2515.50559485347,0,0,0
"9",2016,9,"Pertambangan Bijih Logam",394.884532874808,0.368995837358534,0.171717423424398,0.0352282882025243,0,0,0,0.765518895266017,0.297064588424077,289.468386372594,0,0,3.77516167528447,100.002459794254,0,0,0
"10",2016,10,"Pertambangan dan Penggalian Lainnya",119377936.066207,0,119375070.406198,0,0,0,0,0,0,2109.47416478272,0,0,27.5111424832416,728.758701405035,0,0,0
"11",2016,11,"Industri Batubara dan Pengilangan Migas",178742.247067549,167.023875683038,77.7269190567601,15.9458851118353,0,0,0,346.507791825556,134.464603344395,131026.225464538,0,0,1708.80554872877,45265.5469856132,0,0,0
"12",2016,12,"Industri Makanan dan Minuman",76070.8787641497,71.0836593265001,33.0797846244103,6.78640619680174,0,0,0,147.470184890501,57.2267648130305,55763.4262447201,0,0,727.250226857266,19264.5554864211,0,0,0
"13",2016,13,"Pengolahan Tembakau",2253.28374661555,2.10555809019843,0.979851189399624,0.201019089428358,0,0,0,4.36819156190367,1.69510515876099,1651.75983324518,0,0,21.5417666066482,570.632421674025,0,0,0
"14",2016,14,"Industri Tekstil dan Pakaian Jadi",142481.194309145,133.140103561906,61.9586272348479,12.7109779155461,0,0,0,276.212506146192,107.186060335686,104445.21871753,0,0,1362.14386592643,36082.6234526469,0,0,0
"15",2016,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",17991.0959107533,16.8115966767703,7.82351390641887,1.6050147804199,0,0,0,34.8773444377757,13.5343804507036,13188.294475035,0,0,171.997862980812,4556.15172458546,0,0,0
"16",2016,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",27979.9915240245,26.1456186357274,12.1672328287044,2.49614032268268,0,0,0,54.2417097096442,21.0488483954591,20510.6108779588,0,0,267.49336295167,7085.78772902184,0,0,0
"17",2016,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",30579.9538148075,28.5751269671978,13.2978388373105,2.7280871660513,0,0,0,59.2819685571705,23.0047536374465,22416.5019096807,0,0,292.349433980567,7744.21469388105,0,0,0
"18",2016,18,"Industri Kimia, Farmasi dan Obat Tradisional",113945.125252058,106.47486392848,49.5495814374096,10.1652290162625,0,0,0,220.892790530132,85.7188846813203,83526.9776267044,0,0,1089.33430946366,28856.0119641968,0,0,0
"19",2016,19,"Industri Karet, Barang dari Karet dan Plastik",38942.4971296583,36.3894205543529,16.9343307020257,3.47412318791557,0,0,0,75.4935048090304,29.2957457660043,28546.6278544147,0,0,372.296736044534,9861.98541417968,0,0,0
"20",2016,20,"Industri Barang Galian bukan Logam",15148.9647668082,14.1557961223453,6.58759961643778,1.3514636617692,0,0,0,29.3676196641196,11.3962959013375,11104.8826184951,0,0,144.826617521686,3836.39675372548,0,0,0
"21",2016,21,"Industri Logam Dasar",27352.4275627777,25.55919787194,11.8943336455564,2.44015432613992,0,0,0,53.0251209847707,20.5767432246124,20050.5778503666,0,0,261.493747322157,6926.86041083589,0,0,0
"22",2016,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",925723.95816895,865.033341824264,402.555480564755,82.5853323677694,0,0,0,1794.59847824288,696.405616664027,678597.914340587,0,0,8850.07468722515,234434.790954474,0,0,0
"23",2016,23,"Industri Mesin dan Perlengkapan YTDL",188387.75399995,176.037021580037,81.9213137725926,16.8063763941865,0,0,0,365.206467505298,141.720746111384,138096.822309942,0,0,1801.01819591654,47708.2215834808,0,0,0
"24",2016,24,"Industri Alat Angkutan",155870.449496174,145.651556956591,67.7810087435645,13.9054550380404,0,0,0,302.168771803372,117.258558064964,114260.153912152,0,0,1490.14736779745,39473.3828740179,0,0,0
