"","year","Income.per.capita"
"2",2016,13.3179150178143
"3",2017,13.7958393756773
"4",2018,14.2934971250928
"5",2019,14.8117126909164
"6",2020,15.3513468233193
"7",2021,15.9369984386612
"8",2022,16.5471001894377
"9",2023,17.1826979090795
"10",2024,17.8448835211075
"11",2025,18.5347970889227
"12",2026,19.2855741687696
"13",2027,20.0684030822406
"14",2028,20.8846849971921
"15",2029,21.7358835082497
"16",2030,22.6235274525492
