"","year","id.sector","sector","emission"
"80",2017,"28","Pengadaan Gas dan Produksi Es",22400.6018998729
"81",2017,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",2610.57375869494
"82",2017,"30","Konstruksi",303336.088180959
"83",2017,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",72409.4931926105
"84",2017,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",439881.708252997
"85",2017,"33","Angkutan Rel",2183.41240731413
"86",2017,"34","Angkutan Darat",162249.439601687
"87",2017,"35","Angkutan Laut",472.094317352667
"88",2017,"36","Angkutan Sungai Danau dan Penyeberangan",2.77900668675353
"89",2017,"37","Angkutan Udara",18888.3178962515
"90",2017,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",7210.74892397741
"91",2017,"39","Penyediaan Akomodasi",14034.0073789685
"92",2017,"40","Penyediaan Makan Minum",71002.4889177679
"93",2017,"41","Informasi dan Komunikasi",88610.6305185961
"94",2017,"42","Jasa Perantara Keuangan",67249.3968068343
"95",2017,"43","Asuransi dan Dana Pensiun",7094.20913357065
"96",2017,"44","Jasa Keuangan Lainnya",10548.1642839887
"97",2017,"45","Jasa Penunjang Keuangan",1167.34439983688
"98",2017,"46","Real Estate",31629.2745856173
"99",2017,"47","Jasa Perusahaan",13994.7695412832
"100",2017,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",81076.5069489875
"101",2017,"49","Jasa Pendidikan",85513.3679062152
"102",2017,"50","Jasa Kesehatan dan Kegiatan Sosial",23448.4502313632
"103",2017,"51","Jasa lainnya",60833.2531027185
"104",2017,"52","Lainnya",34.8864669704932
"105",2018,"1","Tanaman Pangan",147962.505674813
"106",2018,"2","Tanaman Hortikultura",56668.93902696
"107",2018,"3","Perkebunan",24017.2128281707
"108",2018,"4","Peternakan",39991.8852676574
"109",2018,"5","Jasa Pertanian dan Perburuan ",4743.96413886927
"110",2018,"6","Kehutanan dan Penebangan Kayu",2936.95477606503
"111",2018,"7","Perikanan",34297.8157399152
"112",2018,"8","Pertambangan Minyak Gas dan Panas Bumi",41076.9439643183
"113",2018,"9","Pertambangan Bijih Logam",2118.25965120177
"114",2018,"10","Pertambangan dan Penggalian Lainnya",18381.50510497
"115",2018,"11","Industri Batubara dan Pengilangan Migas",58903.1768296202
"116",2018,"12","Industri Makanan dan Minuman",156281.821998397
"117",2018,"13","Pengolahan Tembakau",7115.38335795333
"118",2018,"14","Industri Tekstil dan Pakaian Jadi",214692.082799687
"119",2018,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",20666.7214980257
"120",2018,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",14935.502004689
