HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
245.5444753,0,0,0,0.112693079,0.245041518,0,125.4445075,59.46669218,0,1.988016495,302.4729391,0,0,2.48649E-05,0.000227867,0,8.98402E-08,15.43609434,0,0,21.07229528,366.889276,0,0,0
0,0,0,0,19174.29517,41692.87475,0,48406.6935,0,0,0,0,0,0,4.216588072,38.7708514,0,0,682.1885385,0,0,0,0,0,0,0
0,0,0,0,889.0368625,1933.135076,0,609.0719825,140.9810619,0,374.4905488,72.18908812,0,0,0.195506651,1.797652313,0,186.9005741,2040.894319,0,0,0,0,0,0,0
0,0,0,0,4928.086551,10715.70524,0,3376.19234,781.4826407,0,2075.866496,400.1567193,0,0,1.084225588,9.964700636,0,1036.022514,11313.03354,0,0,0,0,0,0,0
0,0,0,0,3162.347836,0,0,0,0,0,0,4.977981568,0,0,0,6.394337674,0,0,0,0,0,0,0,0,0,0
0,0,0,0,372221.3776,0,0,0,0,0,0,585.9289531,0,0,0,752.6399061,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,665.1380885,116.5229522,0,0.287592837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.908574774,0.684727999,0,0.001689992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25560.84382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10382.30681,0,0,36.66814203,8.487524872,0,22.54556608,24.44927624,0,0,0,20.99325533,0,0,691.2178876,0,0,0,0,0,0,0
0,0,0,0,31.0808948,67.58276339,0,26.89614085,6.225613074,0,16.5372088,2.690224917,0,0,0.006830614,0.06284626,0,8.211792402,76.05671291,0,0,0,0,0,0,0
