"","ID","peningkatan.PDRB","penurunan.emisi","penurunan.intensitasEmisi","ScenarioName","ScenarioID"
"2","combination1.1",0.00220222830110364,0.158678888838447,0.4922189632535,"Pembangunan PLTS Terpusat Off Grid","scen1.energi"
"3","combination1.2",0.000112743569601461,0.762085711836151,2.48034112404556,"Pengembangan Teknik Budidaya Agroforestri","scen10.lahan"
"4","combination1.3",0.000113907561446292,2.46662379755337,7.77959371991248,"Perlindungan dan Konservasi SDA","scen11.lahan"
"5","combination1.4",0.00241978653676424,-0.00105046069419228,-0.0284533983651974,"Pembangunan TPA","scen12.limbah"
"6","combination1.5",0.0145451816708661,0.0151910783290011,-0.209315985749696,"Pembangunan ITF","scen13.limbah"
"7","combination1.6",0.00162276711091114,0.00124148013719833,-0.00806102131655588,"Pembangunan TPS 3R","scen14.limbah"
"8","combination1.7",0.00301833993655524,0.0196570464442211,-0.0820920875922104,"Pembangunan IPAL Aerob","scen15.limbah"
"9","combination1.8",0.000747357532036104,0.000467874808166243,-0.0170803342160363,"Pembangunan Septic Tank Komunal","scen16.limbah"
"10","combination1.9",0.00145669294971196,0.0160061903487379,0.0585662008020226,"Pengadaan Pupuk Organik","scen17.pertanian"
"11","combination1.10",1.55738519596097e-05,0.00964655272628463,0.0309452850656943,"Alat Pencacah Pupuk Organik (APPO)","scen18.pertanian"
"12","combination1.11",0.000494007111240098,0.0397626583482855,0.262990915735972,"Pengelolaan Tanaman Terpadu (PTT)","scen19.pertanian"
"13","combination1.12",0.00254752280741606,0.107245113267825,0.299807441160782,"Pembangunan PLTMH Terpusat Off Grid","scen2.energi"
"14","combination1.13",7.4224332753911e-05,0.0676136940966056,0.210680503923832,"ATCS","scen3.energi"
"15","combination1.14",0.000141613076632487,-0.000364283979383003,0.00178599337091783,"Car Free Day","scen4.energi"
"16","combination1.15",0.00280281216775128,0.286763223689669,0.841738036746495,"Reformasi Sistem Transit BRT","scen5.energi"
"17","combination1.16",2.54683261498907e-05,0.00372060800531111,0.0119528471269647,"Pelatihan Smart Driving","scen6.energi"
"18","combination1.17",0.000856482183580895,8.25689565663776,25.7797173271346,"Rehabilitasi Hutan dan Lahan","scen7.lahan"
"19","combination1.18",0.000201386383781261,3.28961694554091,10.327001271815,"Pengembangan Hasil Hutan Non Kayu","scen8.lahan"
"20","combination1.19",6.38028440454381e-05,0.0583055803356885,0.167819455833038,"Pengembangan Hutan Rakyat","scen9.lahan"
"21","combination2.1",0.0331967090264804,12.2101848303935,37.8977367048053,"combination2.1","combination2.1"
"22","combination2.2",0.0325416132266807,7.24290611929659,22.4480872883676,"combination2.2","combination2.2"
"23","combination2.3",0.0324040296869449,4.01159475409139,12.2909011638013,"combination2.3","combination2.3"
"24","combination2.4",0.0333726270841117,15.496081167929,48.2106677534154,"combination2.4","combination2.4"
"25","combination2.5",0.0332350435443759,12.2647698027238,38.0535649083457,"combination2.5","combination2.5"
"26","combination2.6",0.0325799477445763,7.29749109162697,22.6039194011255,"combination2.6","combination2.6"
"27","combination2.7",0.0305952832425104,15.2130385522447,47.3810804071452,"combination2.7","combination2.7"
"28","combination2.8",0.0304576997027745,11.9817271870395,37.2239786197598,"combination2.8","combination2.8"
"29","combination2.9",0.0298026039029749,7.0144484759426,21.774332661205,"combination2.9","combination2.9"
"30","combination2.10",0.0306336177604059,15.267623524575,47.5369063242871,"combination2.10","combination2.10"
"31","combination2.11",0.0332564823336292,15.5001660599138,48.2208728815439,"combination2.11","combination2.11"
"32","combination2.12",0.0331188987938933,12.2688546947085,38.0637615869365,"combination2.12","combination2.12"
"33","combination2.13",0.0324638029940937,7.30157598361166,22.614103273612,"combination2.13","combination2.13"
"34","combination2.14",0.0332948168515247,15.5547510322441,48.3766988302044,"combination2.14","combination2.14"
"35","combination2.15",0.0305174730099233,15.2717084165598,47.547110748776,"combination2.15","combination2.15"
"36","combination2.16",0.0333238710775077,15.4321880818378,48.0119869980638,"combination2.16","combination2.16"
"37","combination2.17",0.0331862875377719,12.2008767166325,37.8548849673675,"combination2.17","combination2.17"
"38","combination2.18",0.0325311917379723,7.23359800553568,22.4052399308145,"combination2.18","combination2.18"
"39","combination2.19",0.0333622055954033,15.4867730541681,48.1678128720359,"combination2.19","combination2.19"
"40","combination2.20",0.0305848617538019,15.2037304384838,47.3382249766131,"combination2.20","combination2.20"
"41","combination2.21",0.0332460608449207,15.4908579461528,48.1780179237031,"combination2.21","combination2.21"
"42","combination2.22",0.0308505726028456,15.3925566626665,47.9235724709918,"combination2.22","combination2.22"
"43","combination2.23",0.0307129890631098,12.1612452974613,37.7663250534036,"combination2.23","combination2.23"
"44","combination2.24",0.0300578932633101,7.19396658636446,22.3164590537327,"combination2.24","combination2.24"
"45","combination2.25",0.0308889071207411,15.4471416349969,48.0794004645133,"combination2.25","combination2.25"
"46","combination2.26",0.0281115632791397,15.1640990193125,47.2497944231125,"combination2.26","combination2.26"
"47","combination2.27",0.0307727623702585,15.4512265269816,48.0896056162917,"combination2.27","combination2.27"
"48","combination2.28",0.0308401511141371,15.3832485489056,47.8807157001131,"combination2.28","combination2.28"
"49","combination2.29",0.0329040882990215,15.4600391175861,47.9598566683057,"combination2.29","combination2.29"
"50","combination2.30",0.0327665047592857,12.2287277523809,37.8027210436711,"combination2.30","combination2.30"
"51","combination2.31",0.0321114089594861,7.261449041284,22.3530247550653,"combination2.31","combination2.31"
"52","combination2.32",0.0329424228169171,15.5146240899164,48.1156830583296,"combination2.32","combination2.32"
"53","combination2.33",0.0301650789753157,15.2315814742321,47.2860884303074,"combination2.33","combination2.33"
"54","combination2.34",0.0328262780664345,15.5187089819012,48.125888074828,"combination2.34","combination2.34"
"55","combination2.35",0.0328936668103131,15.4507310038252,47.917001599916,"combination2.35","combination2.35"
"56","combination2.36",0.0304203683356509,15.4110995846539,47.8285831665599,"combination2.36","combination2.36"
"57","combination2.37",0.033382521558302,15.4901552232081,48.1916760440364,"combination2.37","combination2.37"
"58","combination2.38",0.0332449380185662,12.2588438580029,38.0345740223857,"combination2.38","combination2.38"
"59","combination2.39",0.0325898422187666,7.291565146906,22.5849297005753,"combination2.39","combination2.39"
"60","combination2.40",0.0334208560761976,15.5447401955384,48.3475018622273,"combination2.40","combination2.40"
"61","combination2.41",0.0306435122345962,15.2616975798541,47.517914565689,"combination2.41","combination2.41"
"62","combination2.42",0.033304711325715,15.5488250875231,48.357707094256,"combination2.42","combination2.42"
"63","combination2.43",0.0333721000695936,15.4808471094472,48.1488211776473,"combination2.43","combination2.43"
"64","combination2.44",0.0308988015949314,15.4412156902759,48.0604084102468,"combination2.44","combination2.44"
"65","combination2.45",0.0329523172911074,15.5086981451955,48.0966912941173,"combination2.45","combination2.45"
"66","combination2.46",0.0319414024605497,15.4837955855856,48.1645686829491,"combination2.46","combination2.46"
"67","combination2.47",0.0318038189208139,12.2524842203804,38.0073615186235,"combination2.47","combination2.47"
"68","combination2.48",0.0311487231210142,7.28520550928356,22.5575572963515,"combination2.48","combination2.48"
"69","combination2.49",0.0319797369784452,15.538380557916,48.3203960788862,"combination2.49","combination2.49"
"70","combination2.50",0.0292023931368438,15.2553379422316,47.4907972546966,"combination2.50","combination2.50"
"71","combination2.51",0.0318635922279626,15.5424654499007,48.3306013889176,"combination2.51","combination2.51"
"72","combination2.52",0.0319309809718412,15.4744874718247,48.1217129174095,"combination2.52","combination2.52"
"73","combination2.53",0.0294576824971791,15.4348560526535,48.0332983622721,"combination2.53","combination2.53"
"74","combination2.54",0.031511198193355,15.502338507573,48.0695819940385,"combination2.54","combination2.54"
"75","combination2.55",0.0319896314526355,15.532454613195,48.3014041392983,"combination2.55","combination2.55"
"76","combination2.56",0.0326507378782255,15.4993339011262,48.2398644076874,"combination2.56","combination2.56"
"77","combination2.57",0.0325131543384897,12.268022535921,38.0827267897417,"combination2.57","combination2.57"
"78","combination2.58",0.0318580585386901,7.30074382482411,22.6330286981696,"combination2.58","combination2.58"
"79","combination2.59",0.0326890723961211,15.5539188734566,48.3956907115768,"combination2.59","combination2.59"
"80","combination2.60",0.0299117285545197,15.2708762577722,47.5660988907265,"combination2.60","combination2.60"
"81","combination2.61",0.0325729276456385,15.5580037654413,48.4058960389931,"combination2.61","combination2.61"
"82","combination2.62",0.0326403163895171,15.4900257873653,48.1970088939788,"combination2.62","combination2.62"
"83","combination2.63",0.0301670179148549,15.4503943681941,48.1085968419631,"combination2.63","combination2.63"
"84","combination2.64",0.0322205336110309,15.5178768231136,48.1448787062117,"combination2.64","combination2.64"
"85","combination2.65",0.0326989668703114,15.5479929287356,48.376698893409,"combination2.65","combination2.65"
"86","combination2.66",0.031257847772559,15.5416332911132,48.3495932313213,"combination2.66","combination2.66"
"87","combination2.67",0.0303797554737064,15.4801447294901,48.3056692524539,"combination2.67","combination2.67"
"88","combination2.68",0.0302421719339706,12.2488333642849,38.1483557317041,"combination2.68","combination2.68"
"89","combination2.69",0.029587076134171,7.28155465318806,22.6983889732046,"combination2.69","combination2.69"
"90","combination2.70",0.0304180899916019,15.5347297018205,48.4614983486974,"combination2.70","combination2.70"
"91","combination2.71",0.0276407461500006,15.2516870861362,47.6319052532324,"combination2.71","combination2.71"
"92","combination2.72",0.0303019452411194,15.5388145938052,48.4717040179149,"combination2.72","combination2.72"
"93","combination2.73",0.0303693339849979,15.4708366157292,48.2628123979027,"combination2.73","combination2.73"
