"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"40",2028,3381097.35556651,58084287.6767,427003404.984869,4437715161.88083,0.00791819764455115,0.327513393002055,"combination1.1","Q1","Pembangunan PLTMH off grid"
"41",2029,3599400.55981862,61683688.2365187,462732158.436921,4900447320.31775,0.0077785831267426,0.335288949541301,"combination1.1","Q1","Pembangunan PLTMH off grid"
"42",2030,3837842.78217696,65521531.0186956,501743106.158024,5402190426.47578,0.00764901945851196,0.342935198600109,"combination1.1","Q1","Pembangunan PLTMH off grid"
"43",2010,13830423.8031808,13830423.8031808,112104291.717328,112104291.717328,0.12337104665051,0.123371054306408,"combination1.2","Q1","Smart driving"
"44",2011,1751730.25171977,15582154.0549006,120055862.804612,232160154.521939,0.0145909596649243,0.137961996115501,"combination1.2","Q1","Smart driving"
"45",2012,3623924.43438013,19206078.4892807,128662037.509963,360822192.031902,0.028166229173073,0.166128211566856,"combination1.2","Q1","Smart driving"
"46",2013,1879878.89596335,21085957.385244,137981908.811456,498804100.843358,0.0136240968990514,0.179752292941081,"combination1.2","Q1","Smart driving"
"47",2014,1905907.22657374,22991864.6118178,148080217.289741,646884318.133099,0.0128707754584433,0.192623053895944,"combination1.2","Q1","Smart driving"
"48",2015,1942157.68630276,24934022.2981205,159027912.094122,805912230.227221,0.0122126843063454,0.204835724681837,"combination1.2","Q1","Smart driving"
"49",2016,1998666.59523795,26932688.8933585,170902769.320238,976814999.547459,0.0116947583891566,0.216530470500731,"combination1.2","Q1","Smart driving"
"50",2017,2065397.3434553,28998086.2368138,183790073.83053,1160605073.37799,0.0112378068108279,0.22776826564413,"combination1.2","Q1","Smart driving"
"51",2018,2112339.3410223,31110425.5778361,197783371.197906,1358388444.5759,0.0106800654080703,0.238448320218552,"combination1.2","Q1","Smart driving"
"52",2019,2189479.08800164,33299904.6658377,212985297.173749,1571373741.74964,0.0102799541426351,0.248728264330138,"combination1.2","Q1","Smart driving"
"53",2020,2266830.12444999,35566734.7902877,229508492.881708,1800882234.63135,0.00987688993983481,0.25860514498942,"combination1.2","Q1","Smart driving"
"54",2021,2364353.03041667,37931087.8207044,247476614.827586,2048358849.45894,0.00955384423721767,0.268158980656026,"combination1.2","Q1","Smart driving"
"55",2022,2462060.45594889,40393148.2766533,267025449.803092,2315384299.26203,0.00922032135050966,0.277379294096735,"combination1.2","Q1","Smart driving"
"56",2023,2589952.11108248,42983100.3877358,288304145.858392,2603688445.12042,0.00898340224477591,0.286362689056139,"combination1.2","Q1","Smart driving"
"57",2024,2708014.74586498,45691115.1336007,311476571.737822,2915165016.85824,0.00869412017332846,0.29505680251975,"combination1.2","Q1","Smart driving"
"58",2025,2866272.15032133,48557387.2839221,336722818.528632,3251887835.38688,0.00851225991409194,0.303569056267315,"combination1.2","Q1","Smart driving"
"59",2026,3014694.20448272,51572081.4884048,364240858.779812,3616128694.16669,0.00827665027636327,0.311845700876438,"combination1.2","Q1","Smart driving"
"60",2027,3203337.8083809,54775419.2967857,394248380.02416,4010377074.19085,0.00812517684456838,0.319970872521907,"combination1.2","Q1","Smart driving"
"61",2028,3392126.92203193,58167546.2188176,426984811.501251,4437361885.6921,0.00794437373569667,0.32791524148933,"combination1.2","Q1","Smart driving"
"62",2029,3611112.55546746,61778658.7742851,462713564.953304,4900075450.6454,0.0078042072439175,0.335719444365275,"combination1.2","Q1","Smart driving"
"63",2030,3850237.77870169,65628896.5529868,501724512.674406,5401799963.31981,0.00767400771028362,0.343393448077329,"combination1.2","Q1","Smart driving"
"64",2010,13836773.5412856,13836773.5412856,112115902.779199,112115902.779199,0.123414905453115,0.123418220806588,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"65",2011,1749632.6792761,15586406.2205616,120057608.003015,232173510.782215,0.0145732761828151,0.137990319498759,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"66",2012,3623164.99796994,19209571.2185316,128663782.708367,360837293.490581,0.0281599446378965,0.166149359266372,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"67",2013,1878830.99969785,21088402.2182294,137983654.00986,498820947.500441,0.0136163302325911,0.179764665722888,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"68",2014,1904570.6793986,22992972.897628,148081962.488144,646902909.988586,0.0128615980460894,0.192625307337547,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"69",2015,1940532.31110664,24933505.2087347,159029657.292525,805932567.281111,0.0122023297046861,0.204826745442011,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"70",2016,1996752.22737864,26930257.4361133,170904514.518642,976837081.799753,0.0116834375791801,0.21650935408017,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"71",2017,2063193.83025038,28993451.2663637,183791819.028934,1160628900.82869,0.0112257109220165,0.227734295597625,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"72",2018,2109846.54086751,31103297.8072312,197785116.39631,1358414017.225,0.0106673675922101,0.238400948768107,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"73",2019,2186696.86844224,33289994.6756735,212987042.372153,1571401059.59715,0.0102668070512075,0.248667094324399,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"74",2020,2263758.3626993,35553753.0383728,229510238.080111,1800911297.67726,0.00986343085012673,0.258529913170523,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
"75",2021,2360991.61082658,37914744.6491993,247478360.02599,2048389657.70325,0.00954019418335662,0.26806954216646,"combination1.3","Q3","Pengadaan lampu tenaga surya hemat energi (LTSHE)"
